대회(장학)명,날짜,수상,내용,주최
KSC 2023,2023년 12월,우수 논문상,하드웨어 성능 및 비용을 고려한 최적의 클라우드 인스턴스 선택 방안,한국 정보과학회
KSC2022 학부생/주니어논문경진대회 ,2022년 12월,장려상,다양한 클라우드 업체의 스팟 인스턴스 가격 및 특성 분석,한국 정보과학회
